Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
58,Female,Shorts,Footwear,40,Massachusetts,M,Green,Spring,2.8,No,Free Shipping,Yes,Yes,8,Credit Card,Quarterly
25,Male,Pants,Footwear,84,New York,M,Blue,Summer,2.9,No,Free Shipping,Yes,No,43,Venmo,Annually
19,Female,Blouse,Footwear,80,Ohio,S,Turquoise,Fall,3.9,No,2-Day Shipping,No,Yes,13,Credit Card,Every 3 Months
65,Female,Hat,Outerwear,83,Texas,M,White,Fall,4.5,No,Next Day Air,No,No,41,Venmo,Every 3 Months
35,Female,Jewelry,Footwear,41,Ohio,M,Yellow,Winter,3.0,Yes,2-Day Shipping,Yes,No,21,PayPal,Monthly
33,Female,Dress,Accessories,29,Ohio,XL,Blue,Spring,3.8,No,Standard,No,No,19,Cash,Every 3 Months
32,Female,Dress,Accessories,82,Illinois,L,Green,Summer,3.6,Yes,2-Day Shipping,Yes,No,46,Credit Card,Quarterly
26,Female,Hat,Footwear,61,Florida,XL,Maroon,Summer,3.7,No,Express,No,Yes,6,Credit Card,Weekly
65,Female,Coat,Outerwear,50,Georgia,XL,Purple,Spring,2.9,Yes,Standard,No,Yes,23,Debit Card,Monthly
24,Female,Hoodie,Accessories,62,Florida,M,Beige,Winter,3.0,Yes,Free Shipping,No,Yes,39,Credit Card,Monthly
61,Female,Dress,Accessories,55,Arizona,M,Green,Spring,3.6,Yes,Express,Yes,Yes,32,Venmo,Weekly
65,Female,Scarf,Accessories,26,Pennsylvania,L,Beige,Fall,4.0,No,Free Shipping,No,Yes,2,Venmo,Quarterly
52,Female,Jeans,Clothing,84,Washington,L,Pink,Fall,3.3,Yes,Free Shipping,No,Yes,40,PayPal,Every 3 Months
23,Male,Sweater,Clothing,48,Arizona,L,Beige,Winter,3.9,Yes,Free Shipping,No,No,38,Debit Card,Annually
55,Male,Shirt,Accessories,90,Michigan,XL,Pink,Spring,4.9,Yes,Free Shipping,Yes,Yes,27,Cash,Weekly
45,Male,Scarf,Outerwear,68,New York,L,Purple,Fall,3.0,No,2-Day Shipping,Yes,Yes,11,Venmo,Quarterly
20,Female,Pants,Outerwear,71,New York,S,Green,Summer,4.7,No,2-Day Shipping,No,No,24,Credit Card,Quarterly
19,Male,Hat,Accessories,50,Kentucky,S,Green,Summer,3.7,Yes,Free Shipping,Yes,No,17,PayPal,Quarterly
23,Male,Scarf,Accessories,30,Oregon,XL,Pink,Spring,4.9,Yes,Standard,No,No,13,PayPal,Every 3 Months
31,Male,Shorts,Outerwear,78,Texas,M,Turquoise,Winter,3.4,Yes,Standard,Yes,No,33,Cash,Every 3 Months
32,Male,Socks,Clothing,76,Florida,L,Pink,Summer,3.4,No,Next Day Air,Yes,Yes,18,Venmo,Bi-Weekly
50,Female,Sneakers,Clothing,93,Massachusetts,S,Gray,Summer,3.7,No,Next Day Air,Yes,No,34,Debit Card,Monthly
56,Female,Socks,Accessories,77,California,L,Blue,Fall,3.6,Yes,Express,Yes,Yes,2,Cash,Every 3 Months
19,Female,Socks,Outerwear,31,New York,S,White,Summer,4.0,No,2-Day Shipping,Yes,Yes,32,Venmo,Bi-Weekly
53,Male,T-shirt,Clothing,83,Georgia,S,Green,Spring,3.6,No,Standard,Yes,No,21,Credit Card,Quarterly
30,Male,Hoodie,Accessories,77,Rhode Island,L,Purple,Spring,2.9,Yes,Next Day Air,No,No,11,Credit Card,Monthly
63,Female,Sneakers,Footwear,60,Rhode Island,S,Blue,Fall,4.9,No,Next Day Air,Yes,No,4,Debit Card,Monthly
59,Male,T-shirt,Accessories,35,Massachusetts,L,Purple,Spring,3.7,Yes,Standard,Yes,Yes,42,Cash,Annually
62,Female,Handbag,Footwear,83,Colorado,S,Beige,Spring,4.4,Yes,Standard,No,No,16,Credit Card,Weekly
52,Male,Jewelry,Accessories,22,Maine,M,Red,Fall,3.6,Yes,Express,No,No,45,Cash,Bi-Weekly
44,Female,Sandals,Outerwear,33,Kentucky,XL,White,Fall,2.7,Yes,Standard,Yes,Yes,20,Venmo,Annually
32,Male,Socks,Outerwear,71,Georgia,XL,Red,Fall,4.8,Yes,Standard,No,No,17,Credit Card,Every 3 Months
46,Male,Coat,Outerwear,72,Washington,L,Gray,Fall,3.3,Yes,Standard,Yes,Yes,29,Cash,Monthly
55,Female,Scarf,Outerwear,24,Massachusetts,XL,Gray,Summer,3.8,Yes,Free Shipping,No,Yes,28,Debit Card,Quarterly
35,Male,Sandals,Footwear,91,Rhode Island,XL,Purple,Winter,3.9,No,Express,No,Yes,22,Venmo,Monthly
69,Male,Jacket,Accessories,90,Florida,XL,Gray,Fall,2.9,Yes,Next Day Air,Yes,No,3,PayPal,Weekly
